bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.01        90,000        42,359        47,641     44,709.39        1.00             8            No
      16       2      2.05       190,000        89,187       100,813     92,864.13        2.11             8            No
      16       4      2.07       380,000       178,498       201,502    183,574.88        4.22             8            No
      16       8      2.20       760,000       357,845       402,155    344,984.11        8.44             8            No
      16      16      2.22     1,000,000       470,952       529,048    449,842.56       11.11             8            No
      16      32      2.28       960,000       452,396       507,604    421,792.62       10.67             8            No
     256       1      2.07       100,000        49,740        50,260     48,402.71        1.00           128            No
     256       2      2.10       200,000        99,523       100,477     95,057.03        2.00           128            No
     256       4      2.08       380,000       189,758       190,242    182,429.19        3.80           128            No
     256       8      2.19       760,000       377,992       382,008    346,557.23        7.60           128            No
     256      16      2.22       970,000       483,294       486,706    436,740.21        9.70           128            No
     256      32      2.39       960,000       478,858       481,142    401,002.51        9.60           128            No
   4,096       1      2.06       100,000        50,136        49,864     48,614.49        1.00         2,048            No
   4,096       2      2.11       200,000        99,730       100,270     94,607.38        2.00         2,048            No
   4,096       4      2.12       380,000       190,052       189,948    178,991.99        3.80         2,048            No
   4,096       8      2.21       740,000       370,939       369,061    335,448.78        7.40         2,048            No
   4,096      16      2.22       980,000       489,953       490,047    441,242.68        9.80         2,048            No
   4,096      32      2.48       960,000       478,962       481,038    387,252.92        9.60         2,048            No
  65,535       1      2.06       100,000        50,035        49,965     48,520.14        1.00        31,217            No
  65,535       2      2.13       200,000       100,176        99,824     94,073.38        2.00        32,378            No
  65,535       4      2.15       370,000       184,457       185,543    172,494.17        3.70        32,723            No
  65,535       8      2.18       740,000       370,148       369,852    338,983.05        7.40        32,768            No
  65,535      16      2.30     1,030,000       514,429       515,571    448,215.84       10.30        32,768            No
  65,535      32      2.66       960,000       480,071       479,929    360,360.36        9.60        32,768            No
1,048,576       1      2.09        90,000        45,041        44,959     43,124.10        1.00       421,891            No
1,048,576       2      2.10       180,000        89,842        90,158     85,592.01        2.00       429,880            No
1,048,576       4      2.12       370,000       184,850       185,150    174,940.90        4.11       445,714            No
1,048,576       8      2.19       720,000       359,495       360,505    328,167.73        8.00       467,981            No
1,048,576      16      2.21       970,000       483,720       486,280    438,914.03       10.78       479,573            No
1,048,576      32      2.68       880,000       440,247       439,753    328,849.03        9.78       476,091            No
