bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.04        90,000        42,347        47,653     44,031.31        1.00             8           Yes
      16       2      2.14       190,000        89,018       100,982     88,660.76        2.11             8            No
      16       4      2.09       380,000       178,906       201,094    181,905.22        4.22             8           Yes
      16       8      2.21       760,000       357,780       402,220    344,202.90        8.44             8            No
      16      16      2.07       960,000       452,341       507,659    463,096.96       10.67             8           Yes
      16      32      2.32       960,000       451,284       508,716    413,436.69       10.67             8            No
     256       1      2.02       100,000        49,572        50,428     49,431.54        1.00           128            No
     256       2      2.08       190,000        94,747        95,253     91,478.09        1.90           128            No
     256       4      2.19       390,000       193,879       196,121    178,163.54        3.90           128            No
     256       8      2.21       760,000       378,262       381,738    344,671.20        7.60           128            No
     256      16      2.08       960,000       479,114       480,886    460,873.74        9.60           128            No
     256      32      2.39       960,000       477,934       482,066    401,505.65        9.60           128            No
   4,096       1      2.09       100,000        49,934        50,066     47,801.15        1.00         2,048            No
   4,096       2      2.12       190,000        94,760        95,240     89,664.94        1.90         2,048            No
   4,096       4      2.15       380,000       190,316       189,684    177,156.18        3.80         2,048            No
   4,096       8      2.20       730,000       365,051       364,949    331,818.18        7.30         2,048            No
   4,096      16      2.21       980,000       490,307       489,693    442,437.92        9.80         2,048            No
   4,096      32      2.63       960,000       480,100       479,900    365,157.85        9.60         2,048            No
  65,535       1      2.10       100,000        49,901        50,099     47,732.70        1.00        31,248            No
  65,535       2      2.20       190,000        95,104        94,896     86,520.95        1.90        32,423            No
  65,535       4      2.09       360,000       180,187       179,813    172,166.43        3.60        32,725            No
  65,535       8      2.17       730,000       364,905       365,095    337,026.78        7.30        32,768            No
  65,535      16      2.30     1,020,000       510,871       509,129    443,478.26       10.20        32,768            No
  65,535      32      2.74       950,000       475,266       474,734    347,222.22        9.50        32,768            No
1,048,576       1      2.10        90,000        44,943        45,057     42,877.56        1.00       422,046            No
1,048,576       2      2.11       180,000        90,542        89,458     85,470.09        2.00       430,149            No
1,048,576       4      2.12       360,000       180,143       179,857    170,051.96        4.00       444,441            No
1,048,576       8      2.19       720,000       360,364       359,636    329,067.64        8.00       468,314            No
1,048,576      16      2.23       970,000       485,659       484,341    434,977.58       10.78       480,181            No
1,048,576      32      2.60       760,000       379,845       380,155    292,420.16        8.44       469,839            No
