bound       nt        rt           ops       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---         ---        ------        ------
      16       1      2.19       100,000            45        1.00             8            No
      16       2      2.04       190,000            93        1.90             8            No
      16       4      2.15       390,000           181        3.90             8            No
      16       8      2.17       750,000           345        7.50             8            No
      16      16      2.23     1,020,000           458       10.20             8            No
      16      32      2.39       990,000           413        9.90             8            No
     256       1      2.10       100,000            47        1.00           128            No
     256       2      2.03       200,000            98        2.00           128            No
     256       4      2.09       380,000           181        3.80           128            No
     256       8      2.19       750,000           342        7.50           128            No
     256      16      2.21     1,000,000           452       10.00           128            No
     256      32      2.21       960,000           434        9.60           128            No
   4,096       1      2.11       100,000            47        1.00         2,048            No
   4,096       2      2.14       200,000            93        2.00         2,048            No
   4,096       4      2.17       380,000           175        3.80         2,048            No
   4,096       8      2.20       750,000           340        7.50         2,048            No
   4,096      16      2.23     1,010,000           453       10.10         2,048            No
   4,096      32      2.20       960,000           436        9.60         2,048            No
  65,535       1      2.16       100,000            46        1.00        31,414            No
  65,535       2      2.15       190,000            88        1.90        32,353            No
  65,535       4      2.12       360,000           170        3.60        32,740            No
  65,535       8      2.20       730,000           332        7.30        32,768            No
  65,535      16      2.29     1,070,000           467       10.70        32,768            No
  65,535      32      2.32       960,000           414        9.60        32,768            No
1,048,576       1      2.08        90,000            43        1.00       421,420            No
1,048,576       2      2.10       180,000            85        2.00       430,145            No
1,048,576       4      2.10       360,000           171        4.00       444,676            No
1,048,576       8      2.20       730,000           331        8.11       468,240            No
1,048,576      16      2.23     1,000,000           447       11.11       481,173            No
1,048,576      32      2.33       960,000           412       10.67       480,216            No
