bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.02        90,000        42,367        47,633     44,510.39        1.00             8           Yes
      16       2      2.05       190,000        89,093       100,907     92,682.93        2.11             8            No
      16       4      2.04       380,000       179,086       200,914    185,909.98        4.22             8            No
      16       8      2.18       760,000       357,813       402,187    349,264.71        8.44             8            No
      16      16      2.22       990,000       466,504       523,496    445,745.16       11.00             8           Yes
      16      32      2.36       980,000       461,446       518,554    414,551.61       10.89             8            No
     256       1      2.08       100,000        49,716        50,284     48,053.82        1.00           128            No
     256       2      2.11       200,000        99,750       100,250     94,607.38        2.00           128            No
     256       4      2.13       390,000       194,170       195,830    183,270.68        3.90           128            No
     256       8      2.20       740,000       368,450       371,550    336,669.70        7.40           128            No
     256      16      2.21       990,000       493,015       496,985    447,154.47        9.90           128            No
     256      32      2.33       960,000       477,069       482,931    411,134.90        9.60           128            No
   4,096       1      2.11       100,000        49,934        50,066     47,303.69        1.00         2,048            No
   4,096       2      2.13       190,000        94,992        95,008     89,118.20        1.90         2,048            No
   4,096       4      2.15       380,000       189,780       190,220    176,579.93        3.80         2,048            No
   4,096       8      2.16       730,000       364,819       365,181    337,494.22        7.30         2,048            No
   4,096      16      2.22       970,000       484,511       485,489    436,543.65        9.70         2,048            No
   4,096      32      2.29       960,000       480,043       479,957    419,030.99        9.60         2,048            No
  65,535       1      2.11       100,000        49,792        50,208     47,326.08        1.00        31,209            No
  65,535       2      2.06       200,000       100,172        99,828     97,087.38        2.00        32,511            No
  65,535       4      2.10       370,000       184,767       185,233    175,855.51        3.70        32,728            No
  65,535       8      2.17       730,000       364,686       365,314    336,715.87        7.30        32,767            No
  65,535      16      2.25     1,010,000       504,996       505,004    447,893.57       10.10        32,768            No
  65,535      32      2.39       970,000       485,209       484,791    406,367.83        9.70        32,768            No
1,048,576       1      2.10        90,000        45,078        44,922     42,775.67        1.00       422,117            No
1,048,576       2      2.12       190,000        94,944        95,056     89,664.94        2.11       431,077            No
1,048,576       4      2.17       370,000       184,763       185,237    170,585.52        4.11       445,971            No
1,048,576       8      2.18       720,000       360,518       359,482    329,670.33        8.00       468,701            No
1,048,576      16      2.29       980,000       489,271       490,729    427,947.60       10.89       480,222            No
1,048,576      32      2.29       960,000       480,474       479,526    419,580.42       10.67       479,661            No
