bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.02        90,000        42,217        47,783     44,466.40        1.00             8            No
      16       2      2.06       190,000        89,764       100,236     92,098.89        2.11             8            No
      16       4      2.19       390,000       183,279       206,721    177,757.52        4.33             8            No
      16       8      2.19       760,000       358,125       401,875    346,399.27        8.44             8           Yes
      16      16      2.22       990,000       465,752       524,248    446,549.39       11.00             8            No
      16      32      2.26       960,000       451,185       508,815    424,215.64       10.67             8           Yes
     256       1      2.02       100,000        49,805        50,195     49,382.72        1.00           128            No
     256       2      2.11       200,000        99,975       100,025     94,741.83        2.00           128            No
     256       4      2.11       380,000       189,353       190,647    179,924.24        3.80           128            No
     256       8      2.21       750,000       373,495       376,505    339,827.82        7.50           128            No
     256      16      2.21       990,000       493,042       496,958    447,963.80        9.90           128            No
     256      32      2.30       960,000       477,837       482,163    417,936.44        9.60           128            No
   4,096       1      2.06       100,000        50,147        49,853     48,614.49        1.00         2,048            No
   4,096       2      2.13       200,000        99,829       100,171     93,808.63        2.00         2,048            No
   4,096       4      2.14       380,000       189,564       190,436    177,653.11        3.80         2,048            No
   4,096       8      2.21       740,000       369,499       370,501    335,144.93        7.40         2,048            No
   4,096      16      2.21       990,000       494,606       495,394    447,761.19        9.90         2,048            No
   4,096      32      2.36       970,000       484,605       485,395    411,540.09        9.70         2,048            No
  65,535       1      2.05       100,000        49,956        50,044     48,732.94        1.00        31,142            No
  65,535       2      2.14       200,000       100,111        99,889     93,414.29        2.00        32,481            No
  65,535       4      2.17       370,000       184,876       185,124    170,900.69        3.70        32,753            No
  65,535       8      2.16       720,000       359,513       360,487    333,024.98        7.20        32,768            No
  65,535      16      2.24     1,000,000       500,411       499,589    446,229.36       10.00        32,768            No
  65,535      32      2.38       960,000       479,348       480,652    404,040.40        9.60        32,768            No
1,048,576       1      2.07        90,000        45,101        44,899     43,436.29        1.00       422,393            No
1,048,576       2      2.12       180,000        89,830        90,170     84,705.88        2.00       429,899            No
1,048,576       4      2.17       370,000       185,105       184,895    170,349.91        4.11       445,648            No
1,048,576       8      2.19       720,000       359,835       360,165    329,067.64        8.00       467,474            No
1,048,576      16      2.28       990,000       495,131       494,869    434,973.64       11.00       481,677            No
1,048,576      32      2.32       960,000       479,777       480,223    413,080.90       10.67       479,266            No
